name,content,text_missing,text_rate,audio_missing,audio_rate,audio_runs,audio_run_max,vision_missing,vision_rate,vision_runs,vision_run_max,audio_vision_same,extra_missing,extra_missing_rate
附件3_01,6,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0.0
附件3_02,28,0,0.0,5,0.17857142857142858,4,2,5,0.17857142857142858,4,2,1,10,0.17857142857142858
附件3_03,32,0,0.0,5,0.15625,5,1,9,0.28125,5,4,0,14,0.21875
附件3_04,31,0,0.0,2,0.06451612903225806,2,1,2,0.06451612903225806,2,1,1,4,0.06451612903225806
附件3_05,12,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0.0
附件3_06,25,0,0.0,3,0.12,3,1,3,0.12,3,1,1,6,0.12
附件3_07,21,0,0.0,3,0.14285714285714285,3,1,3,0.14285714285714285,3,1,1,6,0.14285714285714285
附件3_08,15,0,0.0,2,0.13333333333333333,1,2,2,0.13333333333333333,1,2,1,4,0.13333333333333333
附件3_09,14,0,0.0,2,0.14285714285714285,1,2,2,0.14285714285714285,1,2,1,4,0.14285714285714285
附件3_10,6,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0.0
附件3_11,14,0,0.0,4,0.2857142857142857,3,2,4,0.2857142857142857,3,2,1,8,0.2857142857142857
附件3_12,13,0,0.0,2,0.15384615384615385,2,1,2,0.15384615384615385,2,1,1,4,0.15384615384615385
附件3_13,19,0,0.0,2,0.10526315789473684,2,1,2,0.10526315789473684,2,1,1,4,0.10526315789473684
附件3_14,23,0,0.0,2,0.08695652173913043,1,2,2,0.08695652173913043,1,2,1,4,0.08695652173913043
附件3_15,27,0,0.0,3,0.1111111111111111,3,1,3,0.1111111111111111,3,1,1,6,0.1111111111111111
附件3_16,34,0,0.0,4,0.11764705882352941,4,1,4,0.11764705882352941,4,1,1,8,0.11764705882352941
附件3_17,22,0,0.0,8,0.36363636363636365,6,3,8,0.36363636363636365,6,3,1,16,0.36363636363636365
附件3_18,17,0,0.0,3,0.17647058823529413,2,2,3,0.17647058823529413,2,2,1,6,0.17647058823529413
附件3_19,24,0,0.0,7,0.2916666666666667,5,2,7,0.2916666666666667,5,2,1,14,0.2916666666666667
附件3_20,48,0,0.0,14,0.2916666666666667,9,4,14,0.2916666666666667,9,4,1,28,0.2916666666666667
附件3_21,9,0,0.0,3,0.3333333333333333,3,1,3,0.3333333333333333,3,1,1,6,0.3333333333333333
附件3_22,17,0,0.0,4,0.23529411764705882,4,1,4,0.23529411764705882,4,1,1,8,0.23529411764705882
附件3_23,13,0,0.0,4,0.3076923076923077,2,3,4,0.3076923076923077,2,3,1,8,0.3076923076923077
附件3_24,8,0,0.0,2,0.25,2,1,2,0.25,2,1,1,4,0.25
附件3_25,9,0,0.0,2,0.2222222222222222,2,1,2,0.2222222222222222,2,1,1,4,0.2222222222222222
附件3_26,22,0,0.0,6,0.2727272727272727,5,2,6,0.2727272727272727,5,2,1,12,0.2727272727272727
附件3_27,21,0,0.0,8,0.38095238095238093,5,3,8,0.38095238095238093,5,3,1,16,0.38095238095238093
附件3_28,33,0,0.0,11,0.3333333333333333,6,3,11,0.3333333333333333,6,3,1,22,0.3333333333333333
附件3_29,18,0,0.0,8,0.4444444444444444,4,4,8,0.4444444444444444,4,4,1,16,0.4444444444444444
附件3_30,24,0,0.0,12,0.5,6,4,12,0.5,6,4,1,24,0.5
