name,content,audio_valid,audio_rate,audio_missing,vision_valid,vision_rate,vision_missing
01,22,22,1.0,0,22,1.0,0
02,19,19,1.0,0,19,1.0,0
03,33,33,1.0,0,33,1.0,0
04,26,26,1.0,0,26,1.0,0
05,15,15,1.0,0,15,1.0,0
06,35,35,1.0,0,35,1.0,0
07,48,48,1.0,0,48,1.0,0
08,11,11,1.0,0,11,1.0,0
09,18,18,1.0,0,18,1.0,0
10,30,30,1.0,0,30,1.0,0
11,14,14,1.0,0,14,1.0,0
12,42,42,1.0,0,42,1.0,0
13,30,30,1.0,0,0,0.0,30
14,35,35,1.0,0,35,1.0,0
15,21,21,1.0,0,21,1.0,0
16,11,11,1.0,0,11,1.0,0
17,24,24,1.0,0,24,1.0,0
18,48,48,1.0,0,48,1.0,0
19,39,39,1.0,0,39,1.0,0
20,43,43,1.0,0,43,1.0,0
